Timestamp,initials_extractor,study_id,ocp
20/12/2022 1:50,km,s_065,no chemical classification
21/12/2022 2:33,km,s_066,no chemical classification
21/12/2022 2:40,km,s_067,no chemical classification
21/12/2022 2:48,km,s_068,no chemical classification
21/12/2022 3:00,km,s_069,no chemical classification
21/12/2022 3:13,km,s_070,no chemical classification
22/12/2022 22:37,km,s_071,no chemical classification
22/12/2022 23:02,km,s_072,no chemical classification
23/12/2022 0:35,km,s_073,no chemical classification
23/12/2022 0:53,km,s_074,no chemical classification
23/12/2022 1:06,km,s_075,no chemical classification
23/12/2022 2:08,km,s_076,"Dichlorodiphenyltrichloroethane (DDT), Aldrin, Dieldrin"
23/12/2022 2:23,km,s_077,general organochlorine
03/01/2023 11:49,km,s_078,no chemical classification
05/01/2023 18:30,km,s_079,"p,p-Dichlorodiphenyldichloroethylene (p,p-DDE)"
05/01/2023 18:32,km,s_080,Dichlorodiphenyldichloroethylene (DDE)
05/01/2023 18:34,km,s_081,"Dichlorodiphenyltrichloroethane (DDT), Lindane"
05/01/2023 18:38,km,s_082,"Dichlorodiphenyltrichloroethane (DDT), Dichlorodiphenyldichloroethylene (DDE), Aldrin, Dieldrin, Endrin, Endosulfan I, Endosulfan II, Heptachlor, Heptachlor epoxide, Mirex"
05/01/2023 18:40,km,s_083,Pentachlorophenol
13/01/2023 14:25,km,s_084,"Hexachlorocyclohexane (HCH), alpha-Hexachlorocyclohexane (alpha-HCH), beta-Hexachlorocyclohexane (beta-HCH), p,p-Dichlorodiphenyltrichloroethane (p,p-DDT), o,p-Dichlorodiphenyltrichloroethane (o,p-DDT), p,p-Dichlorodiphenyldichloroethylene (p,p-DDE), o,p-Dichlorodiphenyldichloroethylene (o,p-DDE), p,p-Dichlorodiphenyldichloroethane (p,p-DDD), o,p-Dichlorodiphenyldichloroethane (o,p-DDD), Lindane"
13/01/2023 14:30,km,s_085,"Hexachlorocyclohexane (HCH), Dichlorodiphenyltrichloroethane (DDT), Aldrin, Dieldrin, Endrin, Lindane, Heptachlor, Chlordane, Methoxychlor, Toxaphene"
06/01/2023 10:51,km,s_086,"alpha-Hexachlorocyclohexane (alpha-HCH), beta-Hexachlorocyclohexane (beta-HCH), gamma-Hexachlorocyclohexane (gamma-HCH), p,p-Dichlorodiphenyltrichloroethane (p,p-DDT), o,p-Dichlorodiphenyltrichloroethane (o,p-DDT), p,p-Dichlorodiphenyldichloroethylene (p,p-DDE), o,p-Dichlorodiphenyldichloroethylene (o,p-DDE), Aldrin, Dieldrin, Endosulfan, Endosulfan II, Heptachlor epoxide, cis-Chlordane, trans-Chlordane, Endrin ketone"
